,START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,hour,day_of_week,is_weekend,is_rush_hour,TEMPERATURE,IS_DAY,RAIN,SNOWFALL,SHOWERS,WEATHER_CODE,WIND_SPEED_10M,WIND_GUSTS_10M,TEMP_WIND,WEATHER_STRESS
37,2016-06-14 17:27:00,2016-06-14 17:57:00,Business,Downtown,Bay Farm Island,9.3,Errand/Supplies,17,1,False,True,68.2,1.0,0.0,0.0,0.0,0.0,11.0,30.6,750.2,109.80000000000001
38,2016-05-05 22:34:00,2016-05-05 22:40:00,Business,Redmond,Bellevue,2.9,Errand/Supplies,22,3,False,False,53.2,0.0,0.0,0.0,0.0,1.0,2.5,8.6,133.0,65.3
39,2016-11-16 22:52:00,2016-11-16 23:02:00,Business,El Cerrito,Berkeley,3.1,Meal/Entertain,22,2,False,False,44.4,0.0,0.0,0.0,0.0,0.0,8.5,15.5,377.4,68.4
40,2016-06-13 18:08:00,2016-06-13 18:47:00,Business,Emeryville,Berkeley,3.9,Meal/Entertain,18,0,False,True,60.7,1.0,0.0,0.0,0.0,0.0,22.6,51.1,1371.8200000000002,134.4
41,2016-10-18 19:03:00,2016-10-18 19:13:00,Business,Emeryville,Berkeley,3.0,NO_DATA,19,1,False,False,58.3,0.0,0.0,0.0,0.0,1.0,9.9,22.3,577.17,91.5
42,2016-10-20 11:26:00,2016-10-20 11:34:00,Business,Emeryville,Berkeley,3.1,NO_DATA,11,3,False,False,72.3,1.0,0.0,0.0,0.0,0.0,5.0,16.6,361.5,93.9
43,2016-11-08 16:21:00,2016-11-08 16:34:00,Business,Emeryville,Berkeley,3.0,NO_DATA,16,1,False,True,74.2,1.0,0.0,0.0,0.0,3.0,2.5,13.3,185.5,93.0
44,2016-11-12 15:40:00,2016-11-12 15:59:00,Business,Emeryville,Berkeley,3.7,Errand/Supplies,15,5,False,False,71.2,1.0,0.0,0.0,0.0,0.0,10.3,20.2,733.3600000000001,101.7
45,2016-11-14 20:19:00,2016-11-14 20:30:00,Business,Emeryville,Berkeley,3.7,Errand/Supplies,20,0,False,False,58.4,0.0,0.0,0.0,0.0,1.0,5.5,20.2,321.2,85.10000000000001
46,2016-11-11 14:39:00,2016-11-11 15:46:00,Business,Menlo Park,Berkeley,36.6,Customer Visit,14,4,False,False,72.2,1.0,0.0,0.0,0.0,3.0,2.8,18.0,202.16,96.0
47,2016-11-14 13:40:00,2016-11-14 14:33:00,Business,Mountain View,Berkeley,43.6,Customer Visit,13,0,False,False,71.3,1.0,0.0,0.0,0.0,0.0,0.8,11.5,57.04,83.6
48,2016-11-09 20:52:00,2016-11-09 21:02:00,Business,Oakland,Berkeley,2.6,NO_DATA,20,2,False,False,62.7,0.0,0.0,0.0,0.0,0.0,4.0,10.8,250.8,77.5
49,2016-11-10 15:30:00,2016-11-10 15:53:00,Business,Oakland,Berkeley,6.0,Meeting,15,3,False,False,76.0,1.0,0.0,0.0,0.0,2.0,4.8,16.9,364.8,99.69999999999999
50,2016-10-19 14:02:00,2016-10-19 14:31:00,Business,San Francisco,Berkeley,10.8,NO_DATA,14,2,False,False,68.0,1.0,0.0,0.0,0.0,2.0,8.9,23.4,605.2,102.30000000000001
51,2016-11-07 19:17:00,2016-11-07 19:57:00,Business,San Francisco,Berkeley,13.2,Between Offices,19,0,False,False,63.4,0.0,0.0,0.0,0.0,3.0,7.1,9.7,450.14,83.2
52,2016-11-08 12:16:00,2016-11-08 12:49:00,Business,San Francisco,Berkeley,11.3,Meeting,12,1,False,False,69.5,1.0,0.0,0.0,0.0,1.0,4.9,16.6,340.55,92.0
53,2016-11-15 20:44:00,2016-11-15 21:00:00,Business,San Francisco,Berkeley,11.8,Temporary Site,20,1,False,False,52.1,0.0,0.0,0.0,0.0,3.0,12.0,28.4,625.2,95.5
54,2016-11-06 16:27:00,2016-11-06 17:28:00,Business,Santa Clara,Berkeley,43.9,Customer Visit,16,6,True,True,68.6,1.0,0.0,0.0,0.0,3.0,0.0,10.4,0.0,82.0
55,2016-07-17 11:23:00,2016-07-17 11:50:00,Personal,Banner Elk,Boone,15.1,Charity ($),11,6,True,False,82.3,1.0,0.0,0.0,0.0,2.0,1.8,14.8,148.14,100.89999999999999
56,2016-07-16 15:29:00,2016-07-16 16:57:00,Personal,Newland,Boone,41.9,NO_DATA,15,5,False,False,72.4,1.0,8.4,0.0,0.0,65.0,6.8,19.1,492.32000000000005,171.70000000000002
57,2016-03-20 18:34:00,2016-03-20 18:40:00,Personal,Sharpstown,Briar Meadow,1.2,NO_DATA,18,6,True,True,29.6,1.0,0.7,0.07,0.0,71.0,11.7,23.8,346.32,136.87
58,2016-10-30 12:58:00,2016-10-30 13:18:00,Business,Almond,Bryson City,15.2,NO_DATA,12,6,True,False,46.9,1.0,0.5,0.0,0.0,53.0,8.9,14.4,417.41,123.7
59,2016-10-30 09:07:00,2016-10-30 10:09:00,Business,Bryson City,Bryson City,16.3,NO_DATA,9,6,True,True,68.5,1.0,0.0,0.0,0.0,0.0,3.5,20.5,239.75,92.5
60,2016-10-30 10:11:00,2016-10-30 10:38:00,Business,Bryson City,Bryson City,6.5,NO_DATA,10,6,True,False,73.5,1.0,0.0,0.0,0.0,1.0,7.7,27.7,565.95,109.9
61,2016-10-30 10:51:00,2016-10-30 11:21:00,Business,Bryson City,Bryson City,6.3,NO_DATA,10,6,True,False,73.5,1.0,0.0,0.0,0.0,1.0,7.7,27.7,565.95,109.9
62,2016-10-30 07:49:00,2016-10-30 08:30:00,Business,Topton,Bryson City,29.8,NO_DATA,7,6,True,True,58.6,1.0,0.0,0.0,0.0,0.0,7.9,16.6,462.94000000000005,83.1
63,2016-07-21 17:42:00,2016-07-21 17:51:00,Business,Edgehill Farms,Burtrose,2.3,NO_DATA,17,3,False,True,65.0,1.0,0.1,0.0,0.0,51.0,8.2,18.4,533.0,142.7
64,2016-04-27 13:30:00,2016-04-27 13:40:00,Business,Whitebridge,Burtrose,4.9,Between Offices,13,2,False,False,33.9,1.0,0.3,0.0,0.0,51.0,14.6,38.9,494.93999999999994,138.7
65,2016-06-25 09:03:00,2016-06-25 09:12:00,Business,CBD,Bywater,4.5,NO_DATA,9,5,False,True,37.4,1.0,0.0,0.0,0.0,0.0,15.8,33.5,590.92,86.7
66,2016-05-04 20:55:00,2016-05-04 21:14:00,Business,Mcvan,Capitol One,14.5,Errand/Supplies,20,2,False,False,51.5,0.0,0.0,0.0,0.0,3.0,3.3,17.3,169.95,75.1
67,2016-05-04 22:19:00,2016-05-04 22:27:00,Business,University District,Capitol One,5.0,Meal/Entertain,22,2,False,False,51.0,0.0,0.0,0.0,0.0,3.0,2.0,10.1,102.0,66.1
68,2016-01-29 21:21:00,2016-01-29 21:40:00,Business,Apex,Cary,5.5,Meal/Entertain,21,4,False,False,30.2,0.0,0.0,0.0,0.0,0.0,8.2,19.4,247.64,57.8
69,2016-01-30 18:09:00,2016-01-30 18:24:00,Business,Apex,Cary,5.7,Customer Visit,18,5,False,True,39.4,0.0,0.0,0.0,0.0,0.0,11.2,22.0,441.28,72.6
70,2016-02-07 18:03:00,2016-02-07 18:17:00,Business,Apex,Cary,5.7,Customer Visit,18,6,True,True,30.0,0.0,0.0,0.0,0.0,3.0,18.5,39.6,555.0,91.1
71,2016-02-29 12:36:00,2016-02-29 12:48:00,Business,Apex,Cary,5.6,Meeting,12,0,False,False,58.6,1.0,0.0,0.0,0.0,0.0,19.1,46.1,1119.2600000000002,123.80000000000001
72,2016-06-06 21:08:00,2016-06-06 21:37:00,Business,Apex,Cary,7.2,Meal/Entertain,21,0,False,False,75.4,0.0,0.3,0.0,0.0,51.0,12.5,26.6,942.5000000000001,165.79999999999998
73,2016-07-18 18:32:00,2016-07-18 18:47:00,Business,Apex,Cary,5.5,Meal/Entertain,18,0,False,True,95.6,1.0,0.0,0.0,0.0,2.0,7.1,20.9,678.7599999999999,125.6
74,2016-08-01 15:40:00,2016-08-01 15:47:00,Business,Apex,Cary,4.6,NO_DATA,15,0,False,False,92.4,1.0,0.0,0.0,0.0,3.0,8.9,24.5,822.3600000000001,128.8
75,2016-08-10 19:47:00,2016-08-10 20:02:00,Business,Apex,Cary,6.0,NO_DATA,19,2,False,False,89.8,1.0,0.0,0.0,0.0,2.0,6.1,12.6,547.78,110.49999999999999
76,2016-10-17 19:08:00,2016-10-17 19:25:00,Business,Apex,Cary,5.3,NO_DATA,19,0,False,False,70.9,0.0,0.0,0.0,0.0,0.0,10.2,17.3,723.1800000000001,98.4
77,2016-11-19 21:14:00,2016-11-19 21:35:00,Business,Apex,Cary,5.4,Customer Visit,21,5,False,False,34.9,0.0,0.0,0.0,0.0,0.0,21.1,47.5,736.39,103.5
78,2016-12-02 13:07:00,2016-12-02 13:22:00,Business,Apex,Cary,5.3,Customer Visit,13,4,False,False,46.5,1.0,0.0,0.0,0.0,0.0,10.9,29.2,506.85,86.6
79,2016-12-09 13:15:00,2016-12-09 13:43:00,Business,Apex,Cary,8.8,Temporary Site,13,4,False,False,30.3,1.0,0.0,0.0,0.0,0.0,13.6,33.8,412.08,77.69999999999999
80,2016-12-12 14:26:00,2016-12-12 14:39:00,Business,Apex,Cary,4.7,Customer Visit,14,0,False,False,52.5,1.0,0.0,0.0,0.0,3.0,13.6,31.7,714.0,100.8
81,2016-07-17 12:20:00,2016-07-17 15:25:00,Personal,Boone,Cary,180.2,Commute,12,6,True,False,78.9,1.0,3.3,0.0,0.0,63.0,25.3,56.2,1996.1700000000003,226.7
82,2016-01-07 13:27:00,2016-01-07 13:33:00,Business,Cary,Cary,0.8,Meeting,13,3,False,False,48.2,1.0,0.0,0.0,0.0,3.0,10.4,25.2,501.28000000000003,86.8
83,2016-01-18 14:55:00,2016-01-18 15:06:00,Business,Cary,Cary,4.8,Meal/Entertain,14,0,False,False,24.4,1.0,0.0,0.0,0.0,0.0,15.3,37.4,373.32,77.1
84,2016-01-21 14:25:00,2016-01-21 14:29:00,Business,Cary,Cary,1.6,Errand/Supplies,14,3,False,False,33.7,1.0,0.0,0.0,0.0,0.0,6.0,22.3,202.20000000000002,62.0
85,2016-01-21 14:43:00,2016-01-21 14:51:00,Business,Cary,Cary,2.4,Meal/Entertain,14,3,False,False,33.7,1.0,0.0,0.0,0.0,0.0,6.0,22.3,202.20000000000002,62.0
86,2016-01-21 16:01:00,2016-01-21 16:06:00,Business,Cary,Cary,1.0,Meal/Entertain,16,3,False,True,33.4,1.0,0.0,0.0,0.0,0.0,4.2,14.8,140.28,52.400000000000006
